Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
080,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS AGE >17 W/O CC,N,"$1,235.94","$2,518.58","$2,120.17","$2,518.58",20061001
081,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS AGE 0-17,N,$824.16,"$3,474.63","$2,427.80","$3,474.63",20061001
082,DRG,RESPIRATORY NEOPLASMS,N,"$1,386.22","$3,424.47","$2,407.73","$3,424.47",20061001
083,DRG,MAJOR CHEST TRAUMA W CC,N,"$1,283.49","$3,062.73","$2,602.25","$3,062.73",20061001
084,DRG,MAJOR CHEST TRAUMA W/O CC,N,"$1,456.37","$3,233.39","$2,859.87","$3,233.39",20061001
085,DRG,PLEURAL EFFUSION W CC,N,"$1,335.00","$3,313.28","$2,384.63","$3,313.28",20061001
086,DRG,PLEURAL EFFUSION W/O CC,N,"$1,520.77","$3,545.86","$2,664.98","$3,545.86",20061001
087,DRG,PULMONARY EDEMA & RESPIRATORY FAILURE,N,"$1,188.15","$3,120.44","$2,245.59","$3,120.44",20061001
088,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,N,"$1,146.62","$2,681.61","$2,139.83","$2,681.61",20061001
089,DRG,SIMPLE PNEUMONIA & PLEURISY AGE >17 W CC,N,"$1,197.09","$2,779.21","$2,202.56","$2,779.21",20061001
090,DRG,SIMPLE PNEUMONIA & PLEURISY AGE >17 W/O CC,N,"$1,160.51","$2,373.54","$1,994.96","$2,373.54",20061001
091,DRG,SIMPLE PNEUMONIA & PLEURISY AGE 0-17,N,"$1,241.44","$2,924.25","$2,771.30","$2,924.25",20061001
092,DRG,INTERSTITIAL LUNG DISEASE W CC,N,"$1,352.18","$3,256.85","$2,514.96","$3,256.85",20061001
093,DRG,INTERSTITIAL LUNG DISEASE W/O CC,N,"$1,395.44","$3,227.21","$2,344.06","$3,227.21",20061001
094,DRG,PNEUMOTHORAX W CC,N,"$1,222.73","$3,041.84","$2,372.03","$3,041.84",20061001
095,DRG,PNEUMOTHORAX W/O CC,N,"$1,291.40","$2,907.92","$2,502.98","$2,907.92",20061001
096,DRG,BRONCHITIS & ASTHMA AGE >17 W CC,N,"$1,215.67","$2,716.25","$2,306.80","$2,716.25",20061001
097,DRG,BRONCHITIS & ASTHMA AGE >17 W/O CC,N,"$1,243.38","$2,610.08","$2,391.73","$2,610.08",20061001
098,DRG,BRONCHITIS & ASTHMA AGE 0-17,N,"$3,032.20","$4,254.69","$20,041.13","$4,254.69",20061001
099,DRG,RESPIRATORY SIGNS & SYMPTOMS W CC,N,"$1,324.02","$3,920.14","$2,462.68","$3,920.14",20061001
100,DRG,RESPIRATORY SIGNS & SYMPTOMS W/O CC,N,"$1,441.69","$4,914.47","$2,583.50","$4,914.47",20061001
101,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W CC,N,"$1,344.66","$3,397.22","$2,484.60","$3,397.22",20061001
102,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O CC,N,"$1,499.29","$4,034.63","$2,562.98","$4,034.63",20061001
103,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,S,"$2,580.12","$18,001.71","$5,374.44","$18,001.71",20061001
104,DRG,CARDIAC VALVE & OTH MAJOR CARDIOTHORACIC PROC W CARD CATH,S,"$1,945.25","$12,311.55","$3,624.93","$12,311.55",20061001
105,DRG,CARDIAC VALVE & OTH MAJOR CARDIOTHORACIC PROC W/O CARD CATH,S,"$1,855.94","$14,046.60","$3,703.59","$14,046.60",20061001
106,DRG,CORONARY BYPASS W PTCA,S,"$1,502.07","$14,503.56","$3,068.66","$14,503.56",20061001
108,DRG,OTHER CARDIOTHORACIC PROCEDURES,S,"$1,585.91","$12,139.91","$3,283.32","$12,139.91",20061001
110,DRG,MAJOR CARDIOVASCULAR PROCEDURES W CC,S,"$1,546.44","$9,871.53","$3,125.16","$9,871.53",20061001
111,DRG,MAJOR CARDIOVASCULAR PROCEDURES W/O CC,S,"$1,613.07","$18,959.38","$3,101.00","$18,959.38",20061001
113,DRG,AMPUTATION FOR CIRC SYSTEM DISORDERS EXCEPT UPPER LIMB & TOE,S,"$1,355.41","$3,924.19","$2,572.43","$3,924.19",20061001
114,DRG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS,S,"$1,398.31","$3,373.48","$2,507.06","$3,373.48",20061001
117,DRG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,S,"$1,446.08","$5,908.88","$2,502.37","$5,908.88",20061001
118,DRG,CARDIAC PACEMAKER DEVICE REPLACEMENT,S,"$2,349.87","$15,294.36","$3,694.14","$15,294.36",20061001
119,DRG,VEIN LIGATION & STRIPPING,S,"$1,622.43","$5,002.46","$3,090.33","$5,002.46",20061001
120,DRG,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,S,"$1,616.95","$4,862.03","$3,105.14","$4,862.03",20061001
121,DRG,"CIRCULATORY DISORDERS W AMI & MAJOR COMP, DISCHARGED ALIVE",N,"$1,428.70","$3,934.57","$2,669.99","$3,934.57",20061001
122,DRG,"CIRCULATORY DISORDERS W AMI W/O MAJOR COMP, DISCHARGED ALIVE",N,"$1,370.85","$4,723.16","$2,583.88","$4,723.16",20061001
123,DRG,"CIRCULATORY DISORDERS W AMI, EXPIRED",N,"$1,402.55","$5,480.72","$2,944.16","$5,480.72",20061001
124,DRG,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH & COMPLEX DIAG",N,"$1,491.44","$6,367.68","$2,613.17","$6,367.68",20061001
125,DRG,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O COMPLEX DIAG",N,"$1,411.86","$8,399.28","$2,365.29","$8,399.28",20061001
126,DRG,ACUTE & SUBACUTE ENDOCARDITIS,N,"$1,538.74","$3,512.89","$2,929.67","$3,512.89",20061001
127,DRG,HEART FAILURE & SHOCK,N,"$1,285.76","$3,009.64","$2,365.86","$3,009.64",20061001
128,DRG,DEEP VEIN THROMBOPHLEBITIS,N,"$1,291.20","$1,938.20","$2,445.40","$1,938.20",20061001
129,DRG,"CARDIAC ARREST, UNEXPLAINED",N,"$1,278.56","$8,209.15","$3,174.49","$8,209.15",20061001
130,DRG,PERIPHERAL VASCULAR DISORDERS W CC,N,"$1,357.22","$2,659.64","$2,491.29","$2,659.64",20061001
131,DRG,PERIPHERAL VASCULAR DISORDERS W/O CC,N,"$1,272.12","$2,184.68","$2,434.47","$2,184.68",20061001
132,DRG,ATHEROSCLEROSIS W CC,N,"$1,311.73","$3,530.98","$2,428.94","$3,530.98",20061001
133,DRG,ATHEROSCLEROSIS W/O CC,N,"$1,350.03","$3,023.85","$1,743.34","$3,023.85",20061001
134,DRG,HYPERTENSION,N,"$1,303.70","$3,101.95","$2,278.34","$3,101.95",20061001
135,DRG,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 W CC,N,"$1,551.35","$3,428.00","$2,878.88","$3,428.00",20061001
136,DRG,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 W/O CC,N,"$1,859.44","$4,002.87","$3,431.13","$4,002.87",20061001
137,DRG,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE 0-17,N,"$1,365.60","$2,482.03","$2,525.78","$2,482.03",20061001
138,DRG,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,N,"$1,373.59","$3,294.55","$2,410.00","$3,294.55",20061001
139,DRG,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC,N,"$1,429.58","$3,459.56","$2,422.35","$3,459.56",20061001
140,DRG,ANGINA PECTORIS,N,"$1,160.48","$3,298.46","$2,199.34","$3,298.46",20061001
141,DRG,SYNCOPE & COLLAPSE W CC,N,"$1,565.49","$3,741.44","$2,632.11","$3,741.44",20061001
142,DRG,SYNCOPE & COLLAPSE W/O CC,N,"$1,785.40","$4,453.00","$2,948.03","$4,453.00",20061001
143,DRG,CHEST PAIN,N,"$1,463.19","$5,120.99","$2,476.78","$5,120.99",20061001
144,DRG,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,N,"$1,422.20","$3,852.77","$2,662.17","$3,852.77",20061001
145,DRG,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC,N,"$1,447.18","$4,029.77","$2,613.50","$4,029.77",20061001
146,DRG,RECTAL RESECTION W CC,S,"$1,430.11","$5,172.39","$2,907.22","$5,172.39",20061001
147,DRG,RECTAL RESECTION W/O CC,S,"$1,443.72","$5,478.58","$3,002.69","$5,478.58",20061001
149,DRG,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC,S,"$1,302.03","$4,912.20","$2,615.80","$4,912.20",20061001
150,DRG,PERITONEAL ADHESIOLYSIS W CC,S,"$1,319.85","$4,688.20","$2,749.81","$4,688.20",20061001
151,DRG,PERITONEAL ADHESIOLYSIS W/O CC,S,"$1,377.38","$5,056.26","$2,767.74","$5,056.26",20061001
152,DRG,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,S,"$1,339.74","$4,340.30","$2,777.45","$4,340.30",20061001
153,DRG,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC,S,"$1,383.28","$4,473.35","$2,862.79","$4,473.35",20061001
155,DRG,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE >17 W/O CC",S,"$1,343.68","$7,124.71","$3,107.74","$7,124.71",20061001
156,DRG,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE 0-17",S,"$6,653.33","$6,734.17","$15,168.02","$6,734.17",20061001
157,DRG,ANAL & STOMAL PROCEDURES W CC,S,"$1,317.05","$4,200.16","$2,605.98","$4,200.16",20061001
158,DRG,ANAL & STOMAL PROCEDURES W/O CC,S,"$1,256.30","$4,924.69","$2,433.24","$4,924.69",20061001
159,DRG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 W CC,S,"$1,321.06","$5,440.84","$2,653.28","$5,440.84",20061001
160,DRG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 W/O CC,S,"$1,372.26","$7,044.90","$2,613.91","$7,044.90",20061001
161,DRG,INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 W CC,S,"$1,487.45","$5,129.34","$2,713.09","$5,129.34",20061001
162,DRG,INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 W/O CC,S,"$1,636.49","$7,538.91","$2,653.92","$7,538.91",20061001
163,DRG,HERNIA PROCEDURES AGE 0-17,S,"$2,276.79","$9,887.44","$5,194.19","$9,887.44",20061001
164,DRG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,S,"$1,268.08","$5,254.69","$2,654.72","$5,254.69",20061001
165,DRG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC,S,"$1,356.83","$5,825.46","$2,924.44","$5,825.46",20061001
166,DRG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,S,"$1,269.45","$6,262.49","$2,590.14","$6,262.49",20061001
167,DRG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC,S,"$1,458.99","$9,521.31","$2,603.71","$9,521.31",20061001
168,DRG,MOUTH PROCEDURES W CC,S,"$1,553.93","$5,568.25","$3,130.62","$5,568.25",20061001
169,DRG,MOUTH PROCEDURES W/O CC,S,"$1,845.56","$8,406.91","$3,705.98","$8,406.91",20061001
170,DRG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,S,"$1,443.05","$4,726.85","$2,792.18","$4,726.85",20061001
171,DRG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC,S,"$1,417.52","$6,106.60","$2,727.09","$6,106.60",20061001
172,DRG,DIGESTIVE MALIGNANCY W CC,N,"$1,525.54","$3,383.33","$2,694.27","$3,383.33",20061001
173,DRG,DIGESTIVE MALIGNANCY W/O CC,N,"$1,532.48","$3,748.25","$2,807.63","$3,748.25",20061001
174,DRG,G.I. HEMORRHAGE W CC,N,"$1,292.90","$3,539.06","$2,572.11","$3,539.06",20061001
175,DRG,G.I. HEMORRHAGE W/O CC,N,"$1,433.00","$3,403.55","$2,651.67","$3,403.55",20061001
176,DRG,COMPLICATED PEPTIC ULCER,N,"$1,320.96","$3,805.67","$2,598.93","$3,805.67",20061001
177,DRG,UNCOMPLICATED PEPTIC ULCER W CC,N,"$1,188.30","$3,453.72","$2,003.94","$3,453.72",20061001
178,DRG,UNCOMPLICATED PEPTIC ULCER W/O CC,N,"$1,264.28","$4,055.97","$2,118.93","$4,055.97",20061001
179,DRG,INFLAMMATORY BOWEL DISEASE,N,"$1,336.98","$2,926.61","$2,306.80","$2,926.61",20061001
180,DRG,G.I. OBSTRUCTION W CC,N,"$1,267.15","$2,951.03","$2,419.54","$2,951.03",20061001
181,DRG,G.I. OBSTRUCTION W/O CC,N,"$1,314.06","$2,756.06","$2,334.31","$2,756.06",20061001
182,DRG,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE >17 W CC",N,"$1,266.84","$2,955.55","$2,284.43","$2,955.55",20061001
183,DRG,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE >17 W/O CC",N,"$1,307.41","$3,434.54","$2,253.87","$3,434.54",20061001
184,DRG,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE 0-17",N,"$2,396.82","$3,148.34","$2,622.37","$3,148.34",20061001
185,DRG,"DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS, AGE >17",N,"$1,422.56","$3,570.12","$2,826.87","$3,570.12",20061001
186,DRG,"DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS, AGE 0-17",N,"$1,357.38","$2,773.60","$2,691.65","$2,773.60",20061001
187,DRG,DENTAL EXTRACTIONS & RESTORATIONS,N,"$1,728.95","$4,078.12","$2,709.11","$4,078.12",20061001
188,DRG,OTHER DIGESTIVE SYSTEM DIAGNOSES AGE >17 W CC,N,"$1,441.52","$3,509.58","$2,658.85","$3,509.58",20061001
189,DRG,OTHER DIGESTIVE SYSTEM DIAGNOSES AGE >17 W/O CC,N,"$1,569.13","$3,455.46","$2,568.33","$3,455.46",20061001
190,DRG,OTHER DIGESTIVE SYSTEM DIAGNOSES AGE 0-17,N,"$1,588.04","$3,759.56","$5,332.73","$3,759.56",20061001
191,DRG,"PANCREAS, LIVER & SHUNT PROCEDURES W CC",S,"$1,780.80","$7,577.90","$3,751.31","$7,577.90",20061001
192,DRG,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC",S,"$1,854.22","$8,211.97","$3,845.84","$8,211.97",20061001
193,DRG,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,S,"$1,485.04","$5,266.97","$2,885.79","$5,266.97",20061001
194,DRG,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC,S,"$1,495.70","$5,265.41","$3,422.43","$5,265.41",20061001
195,DRG,CHOLECYSTECTOMY W C.D.E. W CC,S,"$1,243.62","$5,109.46","$2,511.70","$5,109.46",20061001
196,DRG,CHOLECYSTECTOMY W C.D.E. W/O CC,S,"$1,221.69","$5,908.48","$2,593.27","$5,908.48",20061001
197,DRG,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,S,"$1,281.86","$5,012.90","$2,696.26","$5,012.90",20061001
198,DRG,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC,S,"$1,201.41","$4,828.97","$2,265.75","$4,828.97",20061001
199,DRG,HEPATOBILIARY DIAGNOSTIC PROCEDURE FOR MALIGNANCY,S,"$1,415.55","$5,074.52","$2,663.44","$5,074.52",20061001
200,DRG,HEPATOBILIARY DIAGNOSTIC PROCEDURE FOR NON-MALIGNANCY,S,"$1,535.98","$6,191.40","$3,193.90","$6,191.40",20061001
201,DRG,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES,S,"$1,643.74","$5,556.37","$3,443.89","$5,556.37",20061001
202,DRG,CIRRHOSIS & ALCOHOLIC HEPATITIS,N,"$1,484.95","$3,989.41","$2,975.68","$3,989.41",20061001
203,DRG,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS,N,"$1,542.50","$3,795.34","$2,852.22","$3,795.34",20061001
204,DRG,DISORDERS OF PANCREAS EXCEPT MALIGNANCY,N,"$1,245.29","$3,499.72","$2,380.17","$3,499.72",20061001
205,DRG,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",N,"$1,508.98","$3,714.77","$2,968.29","$3,714.77",20061001
206,DRG,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC",N,"$1,524.88","$3,618.78","$2,383.57","$3,618.78",20061001
207,DRG,DISORDERS OF THE BILIARY TRACT W CC,N,"$1,403.67","$3,988.02","$2,496.41","$3,988.02",20061001
208,DRG,DISORDERS OF THE BILIARY TRACT W/O CC,N,"$1,431.72","$4,408.02","$2,415.30","$4,408.02",20061001
210,DRG,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 W CC,S,"$1,284.27","$5,146.14","$2,547.49","$5,146.14",20061001
211,DRG,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 W/O CC,S,"$1,337.23","$5,417.41","$2,531.54","$5,417.41",20061001
