"Version 2.8, Mid Year Update - Professional Services and Supplies Charge Table, Including Ambulance",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,"Technical, Professional Indicator",Service Category Code,Primary/Bundled Indicator,Charge Type Indicator,Work Expense Units,Provider-Based Practice Expense Units,Non-Provider-Based Practice Expense Units,Total Expense Units, Anesthesia Base Units,Unit Charge,Base Charge,Unit Type,Facility Indicator,Outpatient Indicator,Inpatient Indicator,Skilled Nursing Facility Carveout,Freestanding Carve-out,Start Date
00542,CPT,Anes-Thoracot; Decortication,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00546,CPT,Anes-Thoracot Lungs;Thoracoplasty,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00548,CPT,Anes-Thoracot Lungs;Intrathor Trach,,,3 ,,Anesth,,,,,17.0,$1.00,,3,0,1,1,1,1,20061001
00550,CPT,Anesthesia For Sternal Debridement,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00560,CPT,Anes-Hrt Pericard Sac; W/O Oxygntr,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00561,CPT,"Anesth, heart surg < age 1",,,3 ,,Anesth,,,,,25.0,$1.00,,3,0,0,1,1,1,20061001
00562,CPT,Anes-Hrt Pericard Sac; W/Oxygntr,,,3 ,,Anesth,,,,,20.0,$1.00,,3,0,1,1,1,1,20061001
00563,CPT,Anes-Hrt Pericard Sac;Oxygntr&Arrst,,,3 ,,Anesth,,,,,25.0,$1.00,,3,0,1,1,1,1,20061001
00566,CPT,Anes-Direct Cabg W/O Pump Oxygenatr,,,3 ,,Anesth,,,,,25.0,$1.00,,3,0,1,1,1,1,20061001
00580,CPT,Anes-Hrt Tplnt/Hrt/Lung Tplnt,,,3 ,,Anesth,,,,,20.0,$1.00,,3,0,1,1,1,1,20061001
00600,CPT,Anesthesia Proc C-Spine&Cord; Nos,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00604,CPT,Anes-Cerv Spine&Cord; Pt Sit Pstn,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00620,CPT,Anesthesia Proc T-Spine&Cord; Nos,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00622,CPT,Anes-Thoracic;Thoracolum Sympathect,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00630,CPT,Anesthesia Proc Lumbar Region; Nos,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00632,CPT,Anes-Proc Lumb Rgn; Lumb Sympathect,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00634,CPT,Anes-Lumb Rgn; Chemonucleolysis,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00635,CPT,Anes-Lumb Rgn; Dx/Tx Lumb Punct,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00640,CPT,Anes-Manip Spn/Clos Proc Spn,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00670,CPT,Anes-Exten Spine & Spinal Cord,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00700,CPT,Anes-Proc Upper Ant Abd Wall; Nos,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00702,CPT,Anes-Up Ant Abd Wall; Perq Livr Bx,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00730,CPT,Anes-Proc Upper Posterior Abd Wall,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00740,CPT,Anes-Ugi Endoscopy-Intro Prox Duod,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00750,CPT,Anes-Hernia Repairs Upper Abd; Nos,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00752,CPT,Anes-Hernia Repr Up Abd; &/Dehis,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00754,CPT,Anes-Hern Repr Up Abd; Omphalocele,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00756,CPT,Anes-Hernia Repr Up Abd;Transabd,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00770,CPT,Anes-On Major Abd Blood Vessels,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00790,CPT,Anes-Intraper Up Abd W/Lap;Nos,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00792,CPT,Anes-Intraper Up Abd W/Lap;Hepatec,,,3 ,,Anesth,,,,,13.0,$1.00,,3,0,1,1,1,1,20061001
00794,CPT,Anes-Intraper Up W/Lap;Pancreatect,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00796,CPT,Anes-Intraper Up W/Lap;Liver Tplnt,,,3 ,,Anesth,,,,,30.0,$1.00,,3,0,1,1,1,1,20061001
00797,CPT,Anes-Intraper W/Lap; Gastr Restirct,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00800,CPT,Anes-Proc Lower Ant Abd Wall; Nos,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00802,CPT,Anes-Lw Ant Abd Wall; Panniculect,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00810,CPT,Anes-Low Intest Endo-Dist To Duod,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00820,CPT,Anes-Proc Lower Posterior Abd Wall,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00830,CPT,Anes-Hernia Repairs Lower Abd; Nos,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00832,CPT,Anes-Hern Rep ; Ventral&Inci Hern S,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00834,CPT,Anes-Hern Repr Nos Under 1 Yr Age,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00836,CPT,Anes-Hern Nos<37Wk Brth &<50Wk Surg,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00840,CPT,Anes-Intraper W/Laparscpy; Nos,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00842,CPT,Anes-Intraper W/Laparscpy; Amnio,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00844,CPT,Anes-Intraper;Abd-Perinl Resection,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00846,CPT,Anes-Intraper Low W/Lap;Radl Hyst,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00848,CPT,Anes-Intraper W/Lap;Pelv Exentratn,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00851,CPT,Anes-Intraper W/Lap; Tubal Lig,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00860,CPT,Anes-Xtraper W/Urin Tract; Nos,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00862,CPT,Anes-Xtraper;Up 1/3 Ureter/Nephrect,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00864,CPT,Anes-Xtraper Low Abd;Tot Cystect,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00865,CPT,Anes-Xtraper Low;Radl Prostatect,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00866,CPT,Anes-Xtraper Low Abd;Adrenalectomy,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00868,CPT,Anes-Xtraper Low Abd;Renal Trsplnt,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00870,CPT,Anes-Xtraper Low Abd;Cystolithtomy,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00872,CPT,Anes-Lith Etracorp;W/Water Bath,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00873,CPT,Anes-Lith Xtracorp;W/O Water Bath,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00880,CPT,Anes-Proc Major Lower Abd Ves; Nos,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
00882,CPT,Anes-Maj Ves; Inf Vena Cava Lig,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
00902,CPT,Anesthesia For; Anorectal Procedure,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00904,CPT,Anes-For; Radical Perineal Proc,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
00906,CPT,Anesthesia For; Vulvectomy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00908,CPT,Anes-For; Perineal Prostatectomy,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00910,CPT,Anes-Transurethral; Nos,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00912,CPT,Anes-Trnsureth;Resect Bladder Tumor,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00914,CPT,Anes-Transurethral ; Turp,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00916,CPT,Anes-Trnsureth;Post Resection Bleed,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00918,CPT,Anes-Trnsureth;W/Manip&/Remv Calcu,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00920,CPT,Anesthesia Proc Male Genitalia; Nos,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00921,CPT,Anes-Male Gnt; Vasect Unilat/Bilat,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00922,CPT,Anes-Proc Male Gnt; Seminl Vesicles,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00924,CPT,Anes-Male;Undescend Testis Uni/Bil,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00926,CPT,Anes-Male Gnt; Radl Orchect Ing,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00928,CPT,Anes-Male Gnt; Radl Orchect Abd,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00930,CPT,Anes-Male Genit;Orchiopexy Uni/Bil,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00932,CPT,Anes-Proc Male Gnt; Cmpl Amp Penis,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00934,CPT,Anes-Male;Radl Amp Penis-Ing Lymph,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00936,CPT,Anes Male;Radl Amp Penis-Ing&Iliac,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
00938,CPT,Anes-Male Genit;Insrt Penile Prosth,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00940,CPT,Anes-Vag; Not Otherwise Specified,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
00942,CPT,Anes-Vag; Colpot Vaginect&Opn Ureth,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00944,CPT,Anes-Vag; Vaginal Hysterectomy,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
00948,CPT,Anes-Vag; Cervical Cerclage,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
00950,CPT,Anes-Vag ; Culdoscopy,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
00952,CPT,Anes-Vag;Hysteroscopy&/Salpingraphy,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01112,CPT,Anes-Bn Marrow Asp&/Bx Iliac Crest,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
01120,CPT,Anesthesia Procedures Bony Pelvis,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
01130,CPT,Anes-Body Cast Application/Rev,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01140,CPT,Anesthesia Interpelviabd Amputation,,,3 ,,Anesth,,,,,15.0,$1.00,,3,0,1,1,1,1,20061001
01150,CPT,Anes-Radl Tumor Pelv No Hndqtr Amp,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
01160,CPT,Anes-Clos Proc Invlv Pubis/Si Jnt,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01170,CPT,Anes-Open Proc Invlv Pubis/Si Jnt,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01173,CPT,Anes-Opn Rep Fx Pelv/Column Acetab,,,3 ,,Anesth,,,,,12.0,$1.00,,3,0,1,1,1,1,20061001
01180,CPT,Anes-Obtur Neurectomy; Extrapelvic,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01190,CPT,Anes-Obtur Neurectomy; Intrapelvic,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01200,CPT,Anes-All Clos Proc Invlv Hip Joint,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01202,CPT,Anes-Arthroscopic Proc Hip Joint,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01210,CPT,Anes-Open Proc Invlv Hip Joint; Nos,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
01212,CPT,Anes-Open Proc Invlv Hip;Disartic,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
01214,CPT,Anes-Opn Hip Jnt; Tot Hip Arthplsty,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01215,CPT,Anes-Open Invlv Hip;Total Hip Rev,,,3 ,,Anesth,,,,,10.0,$1.00,,3,0,1,1,1,1,20061001
01220,CPT,Anes-All Clos Proc Invlv Up 2/3 Fem,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01230,CPT,Anes-Open Invlv Upper 2/3 Femur;Nos,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
01232,CPT,Anes-Open Invlv Upper 2/3 Femur;Amp,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
01234,CPT,Anes-Open Upper 2/3 Femur;Radl Res,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01250,CPT,Anes-All Nerv Musc Tend Fasc Up Leg,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01260,CPT,Anes-Invlv Vns Upper Leg Incl Expl,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01270,CPT,Anes-Invlv Artery Up Leg W/Gft;Nos,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01272,CPT,Anes-Invlv Art Up Leg W/Gft;Fem Lig,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01274,CPT,Anes-Invlv Art Up Leg W/Gft;Fem Emb,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
01320,CPT,Anes-Nerv Musc Fasc Burs Knee&/Pop,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01340,CPT,Anes-All Clos Proc Lower 1/3 Femur,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01360,CPT,Anes-All Open Proc Lower 1/3 Femur,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
01380,CPT,Anes-All Closed Proc Knee Joint,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01382,CPT,Anes-Dx Arthroscopic Proc Knee Jnt,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01390,CPT,Anes-All Clos Up Ends Tib Fib&/Pat,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01392,CPT,Anes-All Open Up Ends Tib Fib&/Pat,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01400,CPT,Anes-Open/Scope Proc Knee Jnt; Nos,,,3 ,,Anesth,,,,,4.0,$1.00,,3,0,1,1,1,1,20061001
01402,CPT,Anes-Open/Scope Knee Jnt; Tot Plsty,,,3 ,,Anesth,,,,,7.0,$1.00,,3,0,1,1,1,1,20061001
01404,CPT,Anes-Open/Scope Knee Jnt; Disartic,,,3 ,,Anesth,,,,,5.0,$1.00,,3,0,1,1,1,1,20061001
01420,CPT,Anes-All Cast Applic/Repr W/Knee,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01430,CPT,Anes-Proc Veins Knee&Pop Area; Nos,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
01432,CPT,Anes-Vns Knee&Pop Area; Av Fist,,,3 ,,Anesth,,,,,6.0,$1.00,,3,0,1,1,1,1,20061001
01440,CPT,Anes-Proc Art Knee&Pop Area; Nos,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01442,CPT,Anes-Art Knee;Pop Thrombendartect,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01444,CPT,Anes-Art Knee;Pop Exc Occl/Aneur,,,3 ,,Anesth,,,,,8.0,$1.00,,3,0,1,1,1,1,20061001
01462,CPT,Anes-All Clos Proc Low Leg Ank&Foot,,,3 ,,Anesth,,,,,3.0,$1.00,,3,0,1,1,1,1,20061001
