Inpatient Facility Charge Table,,,,,,,,
,,,,,,,,
Item Code,Code Type,Description,Charge Type Indicator,Standard Room and Board Per Diem,Standard Ancillary Charge Per Diem,ICU Room and Board Per Diem,ICU Ancillary Charge Per Diem,Start Date
029,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE >17 W/O CC",N,"$1,303.56 ","$2,467.45 ","$3,084.33 ","$2,467.45 ",20060825
030,DRG,"TRAUMATIC STUPOR & COMA, COMA <1 HR AGE 0-17",N,"$1,052.20 ","$1,983.36 ","$2,291.83 ","$1,983.36 ",20060825
031,DRG,CONCUSSION AGE >17 W CC,N,"$1,355.07 ","$3,334.46 ","$3,075.97 ","$3,334.46 ",20060825
032,DRG,CONCUSSION AGE >17 W/O CC,N,"$1,513.66 ","$3,652.46 ","$3,092.01 ","$3,652.46 ",20060825
033,DRG,CONCUSSION AGE 0-17,N,"$1,622.48 ","$3,375.10 ","$3,212.15 ","$3,375.10 ",20060825
034,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W CC,N,"$1,191.38 ","$2,337.32 ","$2,632.72 ","$2,337.32 ",20060825
035,DRG,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC,N,"$1,233.98 ","$2,199.71 ","$2,604.77 ","$2,199.71 ",20060825
036,DRG,RETINAL PROCEDURES,S,"$3,000.90 ","$15,371.48 ","$4,004.08 ","$15,371.48 ",20060825
037,DRG,ORBITAL PROCEDURES,S,"$1,761.06 ","$6,454.02 ","$4,026.92 ","$6,454.02 ",20060825
038,DRG,PRIMARY IRIS PROCEDURES,S,"$1,614.05 ","$3,675.93 ","$1,836.63 ","$3,675.93 ",20060825
039,DRG,LENS PROCEDURES WITH OR WITHOUT VITRECTOMY,S,"$1,912.60 ","$5,240.70 ","$3,254.66 ","$5,240.70 ",20060825
040,DRG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE >17,S,"$1,883.49 ","$4,830.69 ","$2,906.42 ","$4,830.69 ",20060825
041,DRG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT AGE 0-17,S,"$1,363.38 ","$4,063.21 ","$2,548.74 ","$4,063.21 ",20060825
042,DRG,"INTRAOCULAR PROCEDURES EXCEPT RETINA, IRIS & LENS",S,"$1,955.50 ","$6,781.35 ","$4,022.44 ","$6,781.35 ",20060825
043,DRG,HYPHEMA,N,"$1,828.09 ","$2,454.34 ","$3,873.41 ","$2,454.34 ",20060825
044,DRG,ACUTE MAJOR EYE INFECTIONS,N,"$1,446.38 ","$1,867.99 ","$4,158.68 ","$1,867.99 ",20060825
045,DRG,NEUROLOGICAL EYE DISORDERS,N,"$1,378.92 ","$3,386.49 ","$1,924.30 ","$3,386.49 ",20060825
046,DRG,OTHER DISORDERS OF THE EYE AGE >17 W CC,N,"$1,276.39 ","$2,245.34 ","$2,475.01 ","$2,245.34 ",20060825
047,DRG,OTHER DISORDERS OF THE EYE AGE >17 W/O CC,N,"$1,404.87 ","$2,068.27 ","$1,765.57 ","$2,068.27 ",20060825
048,DRG,OTHER DISORDERS OF THE EYE AGE 0-17,N,"$1,277.60 ","$2,061.43 ","$2,122.22 ","$2,061.43 ",20060825
049,DRG,MAJOR HEAD & NECK PROCEDURES,S,"$1,580.41 ","$9,110.27 ","$3,360.81 ","$9,110.27 ",20060825
050,DRG,SIALOADENECTOMY,S,"$1,704.56 ","$10,646.31 ","$3,193.17 ","$10,646.31 ",20060825
051,DRG,SALIVARY GLAND PROCEDURES EXCEPT SIALOADENECTOMY,S,"$1,505.94 ","$6,829.38 ","$3,437.13 ","$6,829.38 ",20060825
052,DRG,CLEFT LIP & PALATE REPAIR,S,"$2,119.45 ","$9,172.59 ","$3,367.44 ","$9,172.59 ",20060825
053,DRG,SINUS & MASTOID PROCEDURES AGE >17,S,"$1,452.55 ","$6,915.26 ","$2,885.31 ","$6,915.26 ",20060825
054,DRG,SINUS & MASTOID PROCEDURES AGE 0-17,S,"$1,195.17 ","$5,710.38 ","$2,590.56 ","$5,710.38 ",20060825
055,DRG,"MISCELLANEOUS EAR, NOSE, MOUTH & THROAT PROCEDURES",S,"$1,356.30 ","$6,260.40 ","$2,736.02 ","$6,260.40 ",20060825
056,DRG,RHINOPLASTY,S,"$1,471.64 ","$6,719.08 ","$3,261.76 ","$6,719.08 ",20060825
057,DRG,"T&A PROC, EXCEPT TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE >17",S,"$1,311.89 ","$4,872.22 ","$2,641.46 ","$4,872.22 ",20060825
058,DRG,"T&A PROC, EXCEPT TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE 0-17",S,"$1,299.75 ","$4,589.76 ","$2,765.69 ","$4,589.76 ",20060825
059,DRG,"TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE >17",S,"$1,258.95 ","$5,467.78 ","$1,798.23 ","$5,467.78 ",20060825
060,DRG,"TONSILLECTOMY &/OR ADENOIDECTOMY ONLY, AGE 0-17",S,"$1,140.10 ","$6,437.47 ","$4,112.56 ","$6,437.47 ",20060825
061,DRG,MYRINGOTOMY W TUBE INSERTION AGE >17,S,"$1,669.79 ","$5,664.68 ","$2,404.03 ","$5,664.68 ",20060825
062,DRG,MYRINGOTOMY W TUBE INSERTION AGE 0-17,S,"$1,475.29 ","$4,216.21 ","$2,680.84 ","$4,216.21 ",20060825
063,DRG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES",S,"$1,644.21 ","$6,250.82 ","$3,281.71 ","$6,250.82 ",20060825
064,DRG,"EAR, NOSE, MOUTH & THROAT MALIGNANCY",N,"$1,560.52 ","$2,845.68 ","$2,932.25 ","$2,845.68 ",20060825
065,DRG,DYSEQUILIBRIUM,N,"$1,323.77 ","$2,947.58 ","$2,291.26 ","$2,947.58 ",20060825
066,DRG,EPISTAXIS,N,"$1,277.45 ","$2,554.19 ","$2,406.23 ","$2,554.19 ",20060825
067,DRG,EPIGLOTTITIS,N,"$1,233.80 ","$3,363.39 ","$3,593.33 ","$3,363.39 ",20060825
068,DRG,OTITIS MEDIA & URI AGE >17 W CC,N,"$1,135.68 ","$2,551.84 ","$2,100.55 ","$2,551.84 ",20060825
069,DRG,OTITIS MEDIA & URI AGE >17 W/O CC,N,"$1,200.91 ","$2,524.81 ","$2,501.98 ","$2,524.81 ",20060825
070,DRG,OTITIS MEDIA & URI AGE 0-17,N,"$2,053.94 ","$4,234.65 ","$3,662.11 ","$4,234.65 ",20060825
071,DRG,LARYNGOTRACHEITIS,N,$924.73 ,"$2,110.03 ","$1,797.39 ","$2,110.03 ",20060825
072,DRG,NASAL TRAUMA & DEFORMITY,N,"$1,386.20 ","$2,923.89 ","$2,582.70 ","$2,923.89 ",20060825
073,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES AGE >17",N,"$1,240.21 ","$2,463.00 ","$2,398.92 ","$2,463.00 ",20060825
074,DRG,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES AGE 0-17",N,"$1,749.14 ","$3,355.75 ","$3,416.76 ","$3,355.75 ",20060825
075,DRG,MAJOR CHEST PROCEDURES,S,"$1,596.25 ","$5,755.30 ","$2,954.93 ","$5,755.30 ",20060825
076,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,S,"$1,307.32 ","$3,717.67 ","$2,460.80 ","$3,717.67 ",20060825
077,DRG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC,S,"$1,410.07 ","$4,199.96 ","$2,399.28 ","$4,199.96 ",20060825
078,DRG,PULMONARY EMBOLISM,N,"$1,096.86 ","$2,622.68 ","$2,007.23 ","$2,622.68 ",20060825
079,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS AGE >17 W CC,N,"$1,171.65 ","$2,579.19 ","$2,147.04 ","$2,579.19 ",20060825
080,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS AGE >17 W/O CC,N,"$1,076.48 ","$1,996.10 ","$2,084.82 ","$1,996.10 ",20060825
081,DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS AGE 0-17,N,"$1,243.74 ","$2,660.10 ","$2,247.52 ","$2,660.10 ",20060825
082,DRG,RESPIRATORY NEOPLASMS,N,"$1,250.48 ","$2,818.90 ","$2,214.64 ","$2,818.90 ",20060825
083,DRG,MAJOR CHEST TRAUMA W CC,N,"$1,159.26 ","$2,407.53 ","$2,223.29 ","$2,407.53 ",20060825
084,DRG,MAJOR CHEST TRAUMA W/O CC,N,"$1,323.67 ","$2,349.88 ","$2,786.92 ","$2,349.88 ",20060825
085,DRG,PLEURAL EFFUSION W CC,N,"$1,172.81 ","$2,632.92 ","$2,074.65 ","$2,632.92 ",20060825
086,DRG,PLEURAL EFFUSION W/O CC,N,"$1,326.62 ","$3,028.52 ","$2,324.44 ","$3,028.52 ",20060825
087,DRG,PULMONARY EDEMA & RESPIRATORY FAILURE,N,$988.35 ,"$2,454.58 ","$2,021.78 ","$2,454.58 ",20060825
088,DRG,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,N,"$1,034.70 ","$2,218.73 ","$1,941.29 ","$2,218.73 ",20060825
089,DRG,SIMPLE PNEUMONIA & PLEURISY AGE >17 W CC,N,"$1,081.18 ","$2,288.97 ","$1,989.81 ","$2,288.97 ",20060825
090,DRG,SIMPLE PNEUMONIA & PLEURISY AGE >17 W/O CC,N,"$1,074.56 ","$2,017.68 ","$2,003.84 ","$2,017.68 ",20060825
091,DRG,SIMPLE PNEUMONIA & PLEURISY AGE 0-17,N,"$1,933.83 ","$3,940.47 ","$4,133.66 ","$3,940.47 ",20060825
092,DRG,INTERSTITIAL LUNG DISEASE W CC,N,"$1,193.29 ","$2,719.12 ","$2,185.46 ","$2,719.12 ",20060825
093,DRG,INTERSTITIAL LUNG DISEASE W/O CC,N,"$1,232.01 ","$2,689.27 ","$2,047.41 ","$2,689.27 ",20060825
094,DRG,PNEUMOTHORAX W CC,N,"$1,074.10 ","$2,427.02 ","$2,075.26 ","$2,427.02 ",20060825
095,DRG,PNEUMOTHORAX W/O CC,N,"$1,190.14 ","$2,357.99 ","$2,289.18 ","$2,357.99 ",20060825
096,DRG,BRONCHITIS & ASTHMA AGE >17 W CC,N,"$1,086.39 ","$2,255.11 ","$2,027.14 ","$2,255.11 ",20060825
097,DRG,BRONCHITIS & ASTHMA AGE >17 W/O CC,N,"$1,093.63 ","$2,141.56 ","$1,958.64 ","$2,141.56 ",20060825
098,DRG,BRONCHITIS & ASTHMA AGE 0-17,N,"$1,022.96 ","$3,578.14 ","$3,801.34 ","$3,578.14 ",20060825
099,DRG,RESPIRATORY SIGNS & SYMPTOMS W CC,N,"$1,165.04 ","$3,169.89 ","$2,122.56 ","$3,169.89 ",20060825
100,DRG,RESPIRATORY SIGNS & SYMPTOMS W/O CC,N,"$1,200.96 ","$3,772.88 ","$2,079.62 ","$3,772.88 ",20060825
101,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W CC,N,"$1,181.23 ","$2,755.72 ","$2,152.28 ","$2,755.72 ",20060825
102,DRG,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O CC,N,"$1,212.28 ","$2,959.87 ","$2,074.30 ","$2,959.87 ",20060825
103,DRG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,S,"$1,431.59 ","$11,789.16 ","$3,974.19 ","$11,789.16 ",20060825
104,DRG,CARDIAC VALVE & OTH MAJOR CARDIOTHORACIC PROC W CARD CATH,S,"$1,822.67 ","$10,757.43 ","$3,182.88 ","$10,757.43 ",20060825
105,DRG,CARDIAC VALVE & OTH MAJOR CARDIOTHORACIC PROC W/O CARD CATH,S,"$1,697.27 ","$11,949.43 ","$3,163.98 ","$11,949.43 ",20060825
106,DRG,CORONARY BYPASS W PTCA,S,"$1,297.49 ","$12,406.85 ","$2,570.11 ","$12,406.85 ",20060825
108,DRG,OTHER CARDIOTHORACIC PROCEDURES,S,"$1,559.51 ","$10,245.75 ","$2,801.57 ","$10,245.75 ",20060825
110,DRG,MAJOR CARDIOVASCULAR PROCEDURES W CC,S,"$1,360.91 ","$7,846.72 ","$2,607.13 ","$7,846.72 ",20060825
111,DRG,MAJOR CARDIOVASCULAR PROCEDURES W/O CC,S,"$1,429.81 ","$14,038.19 ","$2,773.39 ","$14,038.19 ",20060825
113,DRG,AMPUTATION FOR CIRC SYSTEM DISORDERS EXCEPT UPPER LIMB & TOE,S,"$1,168.95 ","$3,101.33 ","$2,260.69 ","$3,101.33 ",20060825
114,DRG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS,S,"$1,316.65 ","$2,876.94 ","$2,432.63 ","$2,876.94 ",20060825
117,DRG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,S,"$1,236.08 ","$4,615.41 ","$2,111.98 ","$4,615.41 ",20060825
118,DRG,CARDIAC PACEMAKER DEVICE REPLACEMENT,S,"$1,908.21 ","$11,977.72 ","$2,760.98 ","$11,977.72 ",20060825
119,DRG,VEIN LIGATION & STRIPPING,S,"$1,596.57 ","$4,102.31 ","$3,143.22 ","$4,102.31 ",20060825
120,DRG,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,S,"$1,482.69 ","$4,186.12 ","$2,701.63 ","$4,186.12 ",20060825
121,DRG,"CIRCULATORY DISORDERS W AMI & MAJOR COMP, DISCHARGED ALIVE",N,"$1,254.03 ","$3,140.13 ","$2,237.52 ","$3,140.13 ",20060825
122,DRG,"CIRCULATORY DISORDERS W AMI W/O MAJOR COMP, DISCHARGED ALIVE",N,"$1,218.74 ","$3,900.29 ","$2,246.40 ","$3,900.29 ",20060825
123,DRG,"CIRCULATORY DISORDERS W AMI, EXPIRED",N,"$1,328.31 ","$4,642.01 ","$2,568.95 ","$4,642.01 ",20060825
124,DRG,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH & COMPLEX DIAG",N,"$1,380.08 ","$5,334.81 ","$2,234.18 ","$5,334.81 ",20060825
125,DRG,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O COMPLEX DIAG",N,"$1,326.72 ","$6,995.90 ","$2,070.83 ","$6,995.90 ",20060825
126,DRG,ACUTE & SUBACUTE ENDOCARDITIS,N,"$1,398.10 ","$2,946.72 ","$2,430.34 ","$2,946.72 ",20060825
127,DRG,HEART FAILURE & SHOCK,N,"$1,157.59 ","$2,425.32 ","$2,102.30 ","$2,425.32 ",20060825
128,DRG,DEEP VEIN THROMBOPHLEBITIS,N,"$1,129.35 ","$1,561.80 ","$2,030.99 ","$1,561.80 ",20060825
129,DRG,"CARDIAC ARREST, UNEXPLAINED",N,"$1,075.53 ","$5,725.17 ","$2,506.01 ","$5,725.17 ",20060825
130,DRG,PERIPHERAL VASCULAR DISORDERS W CC,N,"$1,193.23 ","$2,084.17 ","$2,295.58 ","$2,084.17 ",20060825
131,DRG,PERIPHERAL VASCULAR DISORDERS W/O CC,N,"$1,101.28 ","$1,619.28 ","$2,085.67 ","$1,619.28 ",20060825
132,DRG,ATHEROSCLEROSIS W CC,N,"$1,125.82 ","$2,745.56 ","$2,115.75 ","$2,745.56 ",20060825
133,DRG,ATHEROSCLEROSIS W/O CC,N,"$1,233.02 ","$2,370.76 ","$2,216.45 ","$2,370.76 ",20060825
134,DRG,HYPERTENSION,N,"$1,111.72 ","$2,307.11 ","$1,925.80 ","$2,307.11 ",20060825
135,DRG,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 W CC,N,"$1,304.48 ","$2,472.02 ","$2,390.44 ","$2,472.02 ",20060825
136,DRG,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 W/O CC,N,"$1,420.66 ","$2,522.83 ","$2,593.93 ","$2,522.83 ",20060825
137,DRG,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE 0-17,N,"$1,269.14 ","$2,306.72 ","$2,347.38 ","$2,306.72 ",20060825
138,DRG,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,N,"$1,208.57 ","$2,631.64 ","$2,024.99 ","$2,631.64 ",20060825
139,DRG,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC,N,"$1,276.29 ","$2,773.87 ","$2,089.09 ","$2,773.87 ",20060825
140,DRG,ANGINA PECTORIS,N,"$1,043.09 ","$2,802.04 ","$2,004.70 ","$2,802.04 ",20060825
141,DRG,SYNCOPE & COLLAPSE W CC,N,"$1,404.03 ","$2,895.98 ","$2,291.53 ","$2,895.98 ",20060825
142,DRG,SYNCOPE & COLLAPSE W/O CC,N,"$1,519.69 ","$3,269.74 ","$2,429.35 ","$3,269.74 ",20060825
143,DRG,CHEST PAIN,N,"$1,321.54 ","$4,090.27 ","$2,155.16 ","$4,090.27 ",20060825
144,DRG,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,N,"$1,249.03 ","$3,103.33 ","$2,276.99 ","$3,103.33 ",20060825
145,DRG,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC,N,"$1,244.15 ","$2,815.86 ","$2,273.21 ","$2,815.86 ",20060825
146,DRG,RECTAL RESECTION W CC,S,"$1,283.18 ","$4,223.71 ","$2,547.50 ","$4,223.71 ",20060825
147,DRG,RECTAL RESECTION W/O CC,S,"$1,331.33 ","$4,373.37 ","$2,849.07 ","$4,373.37 ",20060825
148,DRG,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,S,"$1,175.17 ","$4,236.95 ","$2,442.33 ","$4,236.95 ",20060825
149,DRG,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC,S,"$1,208.94 ","$3,900.29 ","$2,498.11 ","$3,900.29 ",20060825
150,DRG,PERITONEAL ADHESIOLYSIS W CC,S,"$1,169.31 ","$3,915.28 ","$2,421.25 ","$3,915.28 ",20060825
151,DRG,PERITONEAL ADHESIOLYSIS W/O CC,S,"$1,164.64 ","$3,947.44 ","$2,456.00 ","$3,947.44 ",20060825
152,DRG,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,S,"$1,202.99 ","$3,578.62 ","$2,572.76 ","$3,578.62 ",20060825
153,DRG,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC,S,"$1,193.24 ","$3,419.84 ","$2,344.81 ","$3,419.84 ",20060825
154,DRG,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE >17 W CC",S,"$1,258.36 ","$4,952.39 ","$2,722.89 ","$4,952.39 ",20060825
155,DRG,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE >17 W/O CC",S,"$1,113.93 ","$5,339.45 ","$2,409.45 ","$5,339.45 ",20060825
156,DRG,"STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES AGE 0-17",S,"$2,165.28 ","$6,028.07 ","$3,515.74 ","$6,028.07 ",20060825
157,DRG,ANAL & STOMAL PROCEDURES W CC,S,"$1,173.51 ","$3,469.06 ","$2,324.70 ","$3,469.06 ",20060825
158,DRG,ANAL & STOMAL PROCEDURES W/O CC,S,"$1,098.27 ","$4,024.86 ","$2,096.80 ","$4,024.86 ",20060825
159,DRG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 W CC,S,"$1,189.59 ","$4,430.97 ","$2,351.81 ","$4,430.97 ",20060825
160,DRG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 W/O CC,S,"$1,206.85 ","$5,433.49 ","$2,198.05 ","$5,433.49 ",20060825
161,DRG,INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 W CC,S,"$1,280.68 ","$4,351.34 ","$2,452.64 ","$4,351.34 ",20060825
162,DRG,INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 W/O CC,S,"$1,394.61 ","$6,034.94 ","$2,212.26 ","$6,034.94 ",20060825
163,DRG,HERNIA PROCEDURES AGE 0-17,S,"$2,115.97 ","$9,189.07 ","$4,827.31 ","$9,189.07 ",20060825
164,DRG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,S,"$1,150.60 ","$4,340.84 ","$2,318.17 ","$4,340.84 ",20060825
165,DRG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC,S,"$1,205.30 ","$4,706.89 ","$2,250.31 ","$4,706.89 ",20060825
166,DRG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,S,"$1,199.78 ","$5,301.09 ","$2,251.39 ","$5,301.09 ",20060825
167,DRG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC,S,"$1,315.16 ","$7,400.60 ","$2,133.02 ","$7,400.60 ",20060825
168,DRG,MOUTH PROCEDURES W CC,S,"$1,587.53 ","$4,889.61 ","$3,285.34 ","$4,889.61 ",20060825
169,DRG,MOUTH PROCEDURES W/O CC,S,"$1,668.53 ","$7,699.32 ","$3,118.05 ","$7,699.32 ",20060825
170,DRG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,S,"$1,295.43 ","$3,968.03 ","$2,499.20 ","$3,968.03 ",20060825
171,DRG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC,S,"$1,220.72 ","$4,626.32 ","$2,523.85 ","$4,626.32 ",20060825
172,DRG,DIGESTIVE MALIGNANCY W CC,N,"$1,424.21 ","$2,840.92 ","$2,613.24 ","$2,840.92 ",20060825
173,DRG,DIGESTIVE MALIGNANCY W/O CC,N,"$1,528.25 ","$3,085.60 ","$2,727.30 ","$3,085.60 ",20060825
174,DRG,G.I. HEMORRHAGE W CC,N,"$1,162.80 ","$2,827.44 ","$2,288.36 ","$2,827.44 ",20060825
175,DRG,G.I. HEMORRHAGE W/O CC,N,"$1,249.82 ","$2,697.85 ","$2,331.63 ","$2,697.85 ",20060825
176,DRG,COMPLICATED PEPTIC ULCER,N,"$1,229.67 ","$3,059.15 ","$2,355.71 ","$3,059.15 ",20060825
177,DRG,UNCOMPLICATED PEPTIC ULCER W CC,N,"$1,047.18 ","$2,707.30 ","$1,879.94 ","$2,707.30 ",20060825
178,DRG,UNCOMPLICATED PEPTIC ULCER W/O CC,N,"$1,112.71 ","$3,101.54 ","$1,985.75 ","$3,101.54 ",20060825
179,DRG,INFLAMMATORY BOWEL DISEASE,N,"$1,214.35 ","$2,456.99 ","$2,239.20 ","$2,456.99 ",20060825
180,DRG,G.I. OBSTRUCTION W CC,N,"$1,121.27 ","$2,318.63 ","$2,130.73 ","$2,318.63 ",20060825
181,DRG,G.I. OBSTRUCTION W/O CC,N,"$1,133.54 ","$2,124.98 ","$2,112.31 ","$2,124.98 ",20060825
182,DRG,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE >17 W CC",N,"$1,098.77 ","$2,412.94 ","$1,982.95 ","$2,412.94 ",20060825
183,DRG,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE >17 W/O CC",N,"$1,133.45 ","$2,752.90 ","$1,891.76 ","$2,752.90 ",20060825
184,DRG,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS AGE 0-17",N,"$1,831.01 ","$4,254.12 ","$4,229.64 ","$4,254.12 ",20060825
185,DRG,"DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS, AGE >17",N,"$1,294.69 ","$2,911.09 ","$2,444.61 ","$2,911.09 ",20060825
186,DRG,"DENTAL & ORAL DIS EXCEPT EXTRACTIONS & RESTORATIONS, AGE 0-17",N,"$1,261.51 ","$2,577.70 ","$2,501.53 ","$2,577.70 ",20060825
187,DRG,DENTAL EXTRACTIONS & RESTORATIONS,N,"$1,349.46 ","$2,554.01 ","$2,097.32 ","$2,554.01 ",20060825
