"Version 2.8, Mid Year Update - Outpatient Facility",,,,,,,,,,,,
Item Code,Code Type,Description,Modifier,Service Category Code,Multiple Surgery Indicator,Primary/Pass-Through Indicator,Unit Charge,Base charge,Unit Type,Inpatient Indicator,Skilled Nursing Facility Indicator,Start Date
11402,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11403,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11404,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11406,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11420,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11421,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11422,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11423,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11424,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11426,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11440,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11441,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11442,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11443,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11444,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11446,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11450,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11451,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11462,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11463,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11470,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11471,CPT,"Removal, sweat gland lesion",,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11600,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11601,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11602,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11603,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11604,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11606,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11620,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11621,CPT,Removal of skin lesion,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11622,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11623,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11624,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11626,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11640,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11641,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11642,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11643,CPT,Removal of skin lesion,,30,1,1,"$2,131.88 ",$0.00,1,0,1,20061001
11644,CPT,Removal of skin lesion,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
11646,CPT,Removal of skin lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11719,CPT,Trim nail(s),,30,1,1,$200.16 ,$0.00,1,0,1,20061001
11720,CPT,"Debride nail, 1-5",,30,1,1,$200.16 ,$0.00,1,0,1,20061001
11721,CPT,"Debride nail, 6 or more",,30,1,1,$200.16 ,$0.00,1,0,1,20061001
11730,CPT,Removal of nail plate,,30,1,1,$337.02 ,$0.00,1,0,1,20061001
11732,CPT,"Remove nail plate, add-on",,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11740,CPT,Drain blood from under nail,,30,1,1,$200.16 ,$0.00,1,0,1,20061001
11750,CPT,Removal of nail bed,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11752,CPT,Remove nail bed/finger tip,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11755,CPT,"Biopsy, nail unit",,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11760,CPT,Repair of nail bed,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11762,CPT,Reconstruction of nail bed,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11765,CPT,"Excision of nail fold, toe",,30,1,1,$480.57 ,$0.00,1,0,1,20061001
11770,CPT,Removal of pilonidal lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11771,CPT,Removal of pilonidal lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11772,CPT,Removal of pilonidal lesion,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11900,CPT,Injection into skin lesions,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11901,CPT,Added skin lesions injection,,30,1,1,$229.31 ,$0.00,1,0,1,20061001
11920,CPT,Correct skin color defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11921,CPT,Correct skin color defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11922,CPT,Correct skin color defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11950,CPT,Therapy for contour defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11951,CPT,Therapy for contour defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11952,CPT,Therapy for contour defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11954,CPT,Therapy for contour defects,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
11960,CPT,Insert tissue expander(s),,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
11970,CPT,Replace tissue expander,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
11971,CPT,Remove tissue expander(s),,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
11976,CPT,Removal of contraceptive cap,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
11980,CPT,Implant hormone pellet(s),,30,0,1,$190.09 ,$0.00,1,0,1,20061001
11981,CPT,Insert drug implant device,,30,0,1,$190.09 ,$0.00,1,0,1,20061001
11982,CPT,Remove drug implant device,,30,0,1,$190.09 ,$0.00,1,0,1,20061001
11983,CPT,Remove/insert drug implant,,30,0,1,$190.09 ,$0.00,1,0,1,20061001
12001,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12002,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12004,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12005,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12006,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12007,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12011,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12013,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12014,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12015,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12016,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12017,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12018,CPT,Repair superficial wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12020,CPT,Closure of split wound,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12021,CPT,Closure of split wound,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12031,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12032,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12034,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12035,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12036,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12037,CPT,Layer closure of wound(s),,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
12041,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12042,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12044,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12045,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12046,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12047,CPT,Layer closure of wound(s),,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
12051,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12052,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12053,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12054,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12055,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12056,CPT,Layer closure of wound(s),,30,1,1,$503.73 ,$0.00,1,0,1,20061001
12057,CPT,Layer closure of wound(s),,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
13100,CPT,Repair of wound or lesion,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
13101,CPT,Repair of wound or lesion,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
13102,CPT,Repair wound/lesion add-on,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13120,CPT,Repair of wound or lesion,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13121,CPT,Repair of wound or lesion,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13122,CPT,Repair wound/lesion add-on,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13131,CPT,Repair of wound or lesion,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13132,CPT,Repair of wound or lesion,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13133,CPT,Repair wound/lesion add-on,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13150,CPT,Repair of wound or lesion,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
13151,CPT,Repair of wound or lesion,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13152,CPT,Repair of wound or lesion,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
13153,CPT,Repair wound/lesion add-on,,30,1,1,$503.73 ,$0.00,1,0,1,20061001
13160,CPT,Late closure of wound,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14000,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14001,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14020,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14021,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14040,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14041,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14060,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14061,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14300,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
14350,CPT,Skin tissue rearrangement,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15000,CPT,Skin graft,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15001,CPT,Skin graft add-on,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15040,CPT,Harvest cultured skin graft,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15050,CPT,Skin pinch graft,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15100,CPT,Skin split graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15101,CPT,Skin split graft add-on,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15110,CPT,Epidrm autogrft trnk/arm/leg,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15111,CPT,Epidrm autogrft t/a/l add-on,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15115,CPT,Epidrm a-grft face/nck/hf/g,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15116,CPT,Epidrm a-grft f/n/hf/g addl,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15120,CPT,Skin split graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15121,CPT,Skin split graft add-on,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15130,CPT,"Derm autograft, trnk/arm/leg",,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15131,CPT,Derm autograft t/a/l add-on,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15135,CPT,Derm autograft face/nck/hf/g,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15136,CPT,"Derm autograft, f/n/hf/g add",,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15150,CPT,Cult epiderm grft t/arm/leg,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15151,CPT,Cult epiderm grft t/a/l addl,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15152,CPT,Cult epiderm graft t/a/l +%,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15155,CPT,"Cult epiderm graft, f/n/hf/g",,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15156,CPT,Cult epidrm grft f/n/hfg add,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15157,CPT,Cult epiderm grft f/n/hfg +%,,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15170,CPT,Cell graft trunk/arms/legs,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15171,CPT,Cell graft t/arm/leg add-on,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15175,CPT,"Acellular graft, f/n/hf/g",,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15176,CPT,"Acell graft, f/n/hf/g add-on",,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15200,CPT,Skin full graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15201,CPT,Skin full graft add-on,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15220,CPT,Skin full graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15221,CPT,Skin full graft add-on,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15240,CPT,Skin full graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15241,CPT,Skin full graft add-on,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15260,CPT,Skin full graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15261,CPT,Skin full graft add-on,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15300,CPT,"Apply skinallogrft, t/arm/lg",,30,1,1,"$1,158.64 ",$0.00,1,0,1,20061001
15301,CPT,Apply sknallogrft t/a/l addl,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15320,CPT,Apply skin allogrft f/n/hf/g,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15321,CPT,Aply sknallogrft f/n/hfg add,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15330,CPT,Aply acell alogrft t/arm/leg,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15331,CPT,Aply acell grft t/a/l add-on,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15335,CPT,"Apply acell graft, f/n/hf/g",,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15336,CPT,Aply acell grft f/n/hf/g add,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15340,CPT,Apply cult skin substitute,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15341,CPT,Apply cult skin sub add-on,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15360,CPT,"Apply cult derm sub, t/a/l",,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15361,CPT,Aply cult derm sub t/a/l add,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15365,CPT,Apply cult derm sub f/n/hf/g,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15366,CPT,Apply cult derm f/hf/g add,,30,1,1,$98.79 ,$0.00,1,0,1,20061001
15400,CPT,Skin heterograft,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15401,CPT,Skin heterograft add-on,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15420,CPT,"Apply skin xgraft, f/n/hf/g",,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15421,CPT,Apply skn xgrft f/n/hf/g add,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15430,CPT,Apply acellular xenograft,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15431,CPT,Apply acellular xgraft add,,30,1,1,$337.81 ,$0.00,1,0,1,20061001
15570,CPT,Form skin pedicle flap,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15572,CPT,Form skin pedicle flap,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15574,CPT,Form skin pedicle flap,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15576,CPT,Form skin pedicle flap,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15600,CPT,Skin graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15610,CPT,Skin graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15620,CPT,Skin graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15630,CPT,Skin graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15650,CPT,Transfer skin pedicle flap,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15732,CPT,"Muscle-skin graft, head/neck",,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15734,CPT,"Muscle-skin graft, trunk",,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15736,CPT,"Muscle-skin graft, arm",,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15738,CPT,"Muscle-skin graft, leg",,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15740,CPT,Island pedicle flap graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15750,CPT,Neurovascular pedicle graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15760,CPT,Composite skin graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15770,CPT,Derma-fat-fascia graft,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15775,CPT,Hair transplant punch grafts,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15776,CPT,Hair transplant punch grafts,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15780,CPT,Abrasion treatment of skin,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
15781,CPT,Abrasion treatment of skin,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
15782,CPT,Dressing change not for burn,,30,1,1,"$1,188.20 ",$0.00,1,0,1,20061001
15783,CPT,Abrasion treatment of skin,,30,1,1,$774.62 ,$0.00,1,0,1,20061001
15786,CPT,"Abrasion, lesion, single",,30,1,1,$229.31 ,$0.00,1,0,1,20061001
15787,CPT,"Abrasion, lesions, add-on",,30,1,1,$337.02 ,$0.00,1,0,1,20061001
15788,CPT,"Chemical peel, face, epiderm",,30,1,1,$229.31 ,$0.00,1,0,1,20061001
15789,CPT,"Chemical peel, face, dermal",,30,1,1,$480.57 ,$0.00,1,0,1,20061001
15792,CPT,"Chemical peel, nonfacial",,30,1,1,$229.31 ,$0.00,1,0,1,20061001
15793,CPT,"Chemical peel, nonfacial",,30,1,1,$229.31 ,$0.00,1,0,1,20061001
15819,CPT,"Plastic surgery, neck",,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15820,CPT,Revision of lower eyelid,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15821,CPT,Revision of lower eyelid,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15822,CPT,Revision of upper eyelid,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15823,CPT,Revision of upper eyelid,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15824,CPT,Removal of forehead wrinkles,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15825,CPT,Removal of neck wrinkles,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15826,CPT,Removal of brow wrinkles,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15828,CPT,Removal of face wrinkles,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15829,CPT,Removal of skin wrinkles,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15831,CPT,Excise excessive skin tissue,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
15832,CPT,Excise excessive skin tissue,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
15833,CPT,Excise excessive skin tissue,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
15834,CPT,Excise excessive skin tissue,,30,1,1,"$5,653.51 ",$0.00,1,0,1,20061001
15835,CPT,Excise excessive skin tissue,,30,1,1,"$1,558.31 ",$0.00,1,0,1,20061001
15836,CPT,Excise excessive skin tissue,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
15837,CPT,Excise excessive skin tissue,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
15838,CPT,Excise excessive skin tissue,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
15839,CPT,Excise excessive skin tissue,,30,1,1,"$4,293.64 ",$0.00,1,0,1,20061001
15840,CPT,Graft for face nerve palsy,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15841,CPT,Graft for face nerve palsy,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
15842,CPT,Flap for face nerve palsy,,30,1,1,"$4,779.13 ",$0.00,1,0,1,20061001
